"Check"	"Pass"	"Detail"
"canonical_root"	TRUE	"C:/Users/jesus/OneDrive/Documentos/ChatGPT/Cata CEMiTool"
"required_inputs"	TRUE	"15 inputs"
"five_interaction_modules"	TRUE	"5"
"m5_strongest_interaction"	TRUE	"M5"
"m10_reproducible"	TRUE	"reproducible"
"go_global_hits_six"	TRUE	"6"
"modern_matrix_pass"	TRUE	"PASS"
"priority_mapped_cores_moderate"	TRUE	"M10 moderate; M2 moderate; M5 moderate"
"m2_coverage_below_half"	TRUE	"37.9%"
"report_all_formats"	TRUE	"html,docx,pdf"
"manuscript_all_formats"	TRUE	"html,docx,pdf"
"required_phrases"	TRUE	"report_integrated_heading; M5; M10; M2; CHS; STS; skin thickness; 47,971"
"previous_report_archived"	TRUE	"C:/Users/jesus/OneDrive/Documentos/ChatGPT/Cata CEMiTool/reports/archive/20260925_001344_before_t009_integration"
"previous_manuscript_archived"	TRUE	"C:/Users/jesus/OneDrive/Documentos/ChatGPT/Cata CEMiTool/manuscript/archive/20260925_001344_before_t009_integration"
